words@yad1986m	@yad1986m	0.31	0.62	примерно
words@yad1986m	@yad1986m	0.62	0.93	месяц
words@yad1986m	@yad1986m	0.93	1.24	назад
words@yad1986m	@yad1986m	1.24	1.55	притяжение
words@yad1986m	@yad1986m	1.55	1.86	/
words@yad1986m	@yad1986m	1.86	2.17	/
words@yad1986m	@yad1986m	2.17	2.48	Ааа
words@yad1986m	@yad1986m	2.48	2.79	/
words@yad1986m	@yad1986m	2.79	3.1	у
words@yad1986m	@yad1986m	3.1	3.41	тебя
words@yad1986m	@yad1986m	3.41	3.72	есть
words@yad1986m	@yad1986m	3.72	4.03	объяснение
words@yad1986m	@yad1986m	4.03	4.34	/
words@yad1986m	@yad1986m	4.34	4.65	почему
words@yad1986m	@yad1986m	4.65	4.96	у
words@yad1986m	@yad1986m	4.96	5.27	Бондарчука
words@yad1986m	@yad1986m	5.27	5.58	не
words@yad1986m	@yad1986m	5.58	5.89	получается
words@yad1986m	@yad1986m	5.89	6.2	сделать
words@yad1986m	@yad1986m	6.2	6.51	хорошее
words@yad1986m	@yad1986m	6.51	6.82	кино
words@yad1986m	@yad1986m	6.82	7.13	?
words@yad1986m	@yad1986m	7.13	7.44	/
words@yad1986m	@yad1986m	7.44	7.76	/
words@yad1986m	@yad1986m	33.0	33.329	Ааа
words@yad1986m	@yad1986m	33.329	33.658	Пореченков
words@yad1986m	@yad1986m	33.658	33.987	/
words@yad1986m	@yad1986m	33.987	34.316	плачущий
words@yad1986m	@yad1986m	34.316	34.645	в
words@yad1986m	@yad1986m	34.645	34.974	маках
words@yad1986m	@yad1986m	34.974	35.303	-
words@yad1986m	@yad1986m	35.303	35.632	это
words@yad1986m	@yad1986m	35.632	35.961	какая
words@yad1986m	@yad1986m	35.961	36.29	сторона
words@yad1986m	@yad1986m	36.29	36.619	?
words@yad1986m	@yad1986m	36.619	36.948	/
words@yad1986m	@yad1986m	36.948	37.277	/
words@yad1986m	@yad1986m	37.277	37.606	Идеологическая
words@yad1986m	@yad1986m	37.606	37.935	?
words@yad1986m	@yad1986m	37.935	38.264	/
words@yad1986m	@yad1986m	38.264	38.593	/
words@yad1986m	@yad1986m	38.593	38.922	А
words@yad1986m	@yad1986m	38.922	39.251	/
words@yad1986m	@yad1986m	39.251	39.58	ага
words@yad1986m	@yad1986m	39.58	39.909	/
words@yad1986m	@yad1986m	39.909	40.24	/
words@yad1986m	@yad1986m	86.53	86.798	Три
words@yad1986m	@yad1986m	86.798	87.066	лучших
words@yad1986m	@yad1986m	87.066	87.334	русских
words@yad1986m	@yad1986m	87.334	87.602	режиссёров
words@yad1986m	@yad1986m	87.602	87.87	прямо
words@yad1986m	@yad1986m	87.87	88.138	сейчас
words@yad1986m	@yad1986m	88.138	88.406	?
words@yad1986m	@yad1986m	88.406	88.674	/
words@yad1986m	@yad1986m	88.674	88.95	/
words@yad1986m	@yad1986m	93.9	93.961	Что
words@yad1986m	@yad1986m	93.961	94.022	он
words@yad1986m	@yad1986m	94.022	94.083	снял
words@yad1986m	@yad1986m	94.083	94.144	?
words@yad1986m	@yad1986m	94.144	94.205	/
words@yad1986m	@yad1986m	94.205	94.27	/
words@yad1986m	@yad1986m	105.84	105.974	здесь
words@yad1986m	@yad1986m	105.974	106.108	появятся
words@yad1986m	@yad1986m	106.108	106.242	титры
words@yad1986m	@yad1986m	106.242	106.376	/
words@yad1986m	@yad1986m	106.376	106.51	/
words@yad1986m	@yad1986m	111.52	111.716	Так
words@yad1986m	@yad1986m	111.716	111.912	/
words@yad1986m	@yad1986m	111.912	112.11	Шамиров
words@yad1986m	@yad1986m	113.24	113.35	Так
words@yad1986m	@yad1986m	113.35	113.46	/
words@yad1986m	@yad1986m	118.005	118.19	ага
words@yad1986m	@yad1986m	118.19	118.375	/
words@yad1986m	@yad1986m	120.9	121.134	Что
words@yad1986m	@yad1986m	121.134	121.368	ты
words@yad1986m	@yad1986m	121.368	121.602	думаешь
words@yad1986m	@yad1986m	121.602	121.836	о
words@yad1986m	@yad1986m	121.836	122.07	карьере
words@yad1986m	@yad1986m	122.07	122.304	Петра
words@yad1986m	@yad1986m	122.304	122.538	Буслова
words@yad1986m	@yad1986m	122.538	122.772	?
words@yad1986m	@yad1986m	122.772	123.006	/
words@yad1986m	@yad1986m	123.006	123.24	/
words@yad1986m	@yad1986m	123.24	123.474	Действительно
words@yad1986m	@yad1986m	123.474	123.708	/
words@yad1986m	@yad1986m	123.708	123.942	считаешь
words@yad1986m	@yad1986m	123.942	124.176	ли
words@yad1986m	@yad1986m	124.176	124.41	ты
words@yad1986m	@yad1986m	124.41	124.644	тоже
words@yad1986m	@yad1986m	124.644	124.878	/
words@yad1986m	@yad1986m	124.878	125.112	что
words@yad1986m	@yad1986m	125.112	125.346	он
words@yad1986m	@yad1986m	125.346	125.58	свернул
words@yad1986m	@yad1986m	125.58	125.814	не
words@yad1986m	@yad1986m	125.814	126.048	туда
words@yad1986m	@yad1986m	126.048	126.282	?
words@yad1986m	@yad1986m	126.282	126.516	/
words@yad1986m	@yad1986m	126.516	126.77	/
words@yad1986m	@yad1986m	129.93	130.105	Ну
words@yad1986m	@yad1986m	130.105	130.28	/
words@yad1986m	@yad1986m	131.97	132.275	Для
words@yad1986m	@yad1986m	132.275	132.58	тех
words@yad1986m	@yad1986m	132.58	132.885	/
words@yad1986m	@yad1986m	132.885	133.19	кто
words@yad1986m	@yad1986m	133.19	133.495	не
words@yad1986m	@yad1986m	133.495	133.8	понимает
words@yad1986m	@yad1986m	133.8	134.105	/
words@yad1986m	@yad1986m	134.105	134.41	десять
words@yad1986m	@yad1986m	134.41	134.715	лет
words@yad1986m	@yad1986m	134.715	135.02	назад
words@yad1986m	@yad1986m	135.02	135.325	/
words@yad1986m	@yad1986m	135.325	135.63	а
words@yad1986m	@yad1986m	135.63	135.935	/
words@yad1986m	@yad1986m	135.935	136.24	Петр
words@yad1986m	@yad1986m	136.24	136.545	Буслов
words@yad1986m	@yad1986m	136.545	136.85	считался
words@yad1986m	@yad1986m	136.85	137.155	самым
words@yad1986m	@yad1986m	137.155	137.46	перспективным
words@yad1986m	@yad1986m	137.46	137.765	русским
words@yad1986m	@yad1986m	137.765	138.07	режиссёром
words@yad1986m	@yad1986m	138.07	138.375	/
words@yad1986m	@yad1986m	138.375	138.68	/
words@yad1986m	@yad1986m	140.51	140.593	Да
words@yad1986m	@yad1986m	140.593	140.676	/
words@yad1986m	@yad1986m	140.676	140.76	/
words@yad1986m	@yad1986m	162.24	162.333	ага
words@yad1986m	@yad1986m	162.333	162.426	/
words@yad1986m	@yad1986m	162.426	162.52	/
words@yad1986m	@yad1986m	169.935	170.015	Почему
words@yad1986m	@yad1986m	170.015	170.095	?
words@yad1986m	@yad1986m	170.095	170.175	/
words@yad1986m	@yad1986m	170.175	170.255	/
words@yad1986m	@yad1986m	174.85	175.0	Высоцкий
words@yad1986m	@yad1986m	175.0	175.15	был
words@yad1986m	@yad1986m	175.15	175.3	наркоманом
words@yad1986m	@yad1986m	175.3	175.45	/
words@yad1986m	@yad1986m	175.45	175.6	/
words@yad1986m	@yad1986m	179.39	179.561	Спасибо
words@yad1986m	@yad1986m	179.561	179.732	/
words@yad1986m	@yad1986m	179.732	179.903	что
words@yad1986m	@yad1986m	179.903	180.074	живой
words@yad1986m	@yad1986m	180.074	180.245	кстати
words@yad1986m	@yad1986m	180.245	180.416	он
words@yad1986m	@yad1986m	180.416	180.587	называется
words@yad1986m	@yad1986m	180.587	180.758	/
words@yad1986m	@yad1986m	180.758	180.93	/
words@yad1986m	@yad1986m	203.31	203.537	Это
words@yad1986m	@yad1986m	203.537	203.764	логика
words@yad1986m	@yad1986m	203.764	203.991	/
words@yad1986m	@yad1986m	203.991	204.218	слушай
words@yad1986m	@yad1986m	204.218	204.445	/
words@yad1986m	@yad1986m	204.445	204.672	это
words@yad1986m	@yad1986m	204.672	204.899	логика
words@yad1986m	@yad1986m	204.899	205.126	на
words@yad1986m	@yad1986m	205.126	205.353	уровне
words@yad1986m	@yad1986m	205.353	205.58	/
words@yad1986m	@yad1986m	205.83	206.092	если
words@yad1986m	@yad1986m	206.092	206.354	бы
words@yad1986m	@yad1986m	206.354	206.616	наши
words@yad1986m	@yad1986m	206.616	206.878	бабушки
words@yad1986m	@yad1986m	206.878	207.14	говорили
words@yad1986m	@yad1986m	207.14	207.402	/
words@yad1986m	@yad1986m	207.402	207.664	Сталин
words@yad1986m	@yad1986m	207.664	207.926	?
words@yad1986m	@yad1986m	207.926	208.188	/
words@yad1986m	@yad1986m	208.188	208.45	Бутовский
words@yad1986m	@yad1986m	208.45	208.712	полигон
words@yad1986m	@yad1986m	208.712	208.974	?
words@yad1986m	@yad1986m	208.974	209.236	/
words@yad1986m	@yad1986m	209.236	209.498	Расстреливал
words@yad1986m	@yad1986m	209.498	209.76	людей
words@yad1986m	@yad1986m	209.76	210.022	?
words@yad1986m	@yad1986m	210.022	210.284	/
words@yad1986m	@yad1986m	210.284	210.55	/
words@yad1986m	@yad1986m	210.96	211.146	Для
words@yad1986m	@yad1986m	211.146	211.332	меня
words@yad1986m	@yad1986m	211.332	211.518	Сталин
words@yad1986m	@yad1986m	211.518	211.704	не
words@yad1986m	@yad1986m	211.704	211.89	такой
words@yad1986m	@yad1986m	211.89	212.076	/
words@yad1986m	@yad1986m	212.076	212.262	он
words@yad1986m	@yad1986m	212.262	212.448	выиграл
words@yad1986m	@yad1986m	212.448	212.634	войну
words@yad1986m	@yad1986m	212.634	212.82	/
words@yad1986m	@yad1986m	212.82	213.01	/
words@yad1986m	@yad1986m	213.56	213.74	Ну
words@yad1986m	@yad1986m	213.74	213.92	/
words@yad1986m	@yad1986m	213.92	214.1	значительные
words@yad1986m	@yad1986m	214.1	214.28	люди
words@yad1986m	@yad1986m	214.28	214.46	/
words@yad1986m	@yad1986m	214.46	214.64	они
words@yad1986m	@yad1986m	214.64	214.82	же
words@yad1986m	@yad1986m	214.82	215.0	разными
words@yad1986m	@yad1986m	215.0	215.18	бывают
words@yad1986m	@yad1986m	215.18	215.36	/
